City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severo-kurilsk,50.6789,156.125,31.24,85,86,33.08,RU,1681190166
1,terra santa,-2.1042,-56.4869,74.14,98,100,2.53,BR,1681190722
2,san severo,41.6897,15.376,42.4,82,13,3.15,IT,1681190490
3,dikson,73.5069,80.5464,-6.72,94,93,12.8,RU,1681190723
4,mar del plata,-38.0023,-57.5575,66.09,86,100,20.0,AR,1681189843
5,vaini,-21.2,-175.2,82.56,78,20,11.5,TO,1681190123
6,busselton,-33.65,115.3333,68.85,63,96,13.29,AU,1681190723
7,qaanaaq,77.484,-69.3632,-13.22,73,0,6.24,GL,1681190723
8,kerouane,9.2667,-9.0167,72.81,83,95,2.86,GN,1681190724
9,san patricio,28.017,-97.5169,69.84,93,25,4.43,US,1681190724
10,rikitea,-23.1203,-134.9692,76.84,69,95,9.04,PF,1681190592
11,katsuura,35.1333,140.3,68.02,67,0,22.7,JP,1681190724
12,port alfred,-33.5906,26.891,58.17,66,76,8.01,ZA,1681190724
13,asyut,27.181,31.1837,62.26,61,95,12.17,EG,1681190724
14,karatau,43.1667,70.4667,58.71,51,78,14.18,KZ,1681190725
15,tuatapere,-46.1333,167.6833,55.54,96,100,5.19,NZ,1681190725
16,punta arenas,-53.15,-70.9167,41.61,73,58,19.77,CL,1681190646
17,lagoa,39.05,-27.9833,59.92,89,100,23.4,PT,1681190173
18,sao filipe,14.8961,-24.4956,71.13,62,81,3.4,CV,1681190150
19,nelson bay,-32.7167,152.15,71.1,57,0,11.01,AU,1681190726
20,lebu,-37.6167,-73.65,58.82,99,72,5.41,CL,1681190141
21,kruisfontein,-34.0033,24.7314,55.89,75,36,16.37,ZA,1681190208
22,atuona,-9.8,-139.0333,80.74,79,89,13.13,PF,1681190726
23,souillac,-20.5167,57.5167,79.47,76,99,10.49,MU,1681190130
24,albany,42.6001,-73.9662,48.79,54,27,3.0,US,1681190453
25,ushuaia,-54.8,-68.3,40.66,87,75,32.21,AR,1681190727
26,muravlenko,63.7898,74.523,0.55,79,90,12.37,RU,1681190727
27,new norfolk,-42.7826,147.0587,61.92,63,99,1.99,AU,1681190174
28,butaritari,3.0707,172.7902,80.85,81,90,10.65,KI,1681190728
29,thompson,55.7435,-97.8558,35.83,87,19,11.16,CA,1681190114
30,kandrian,-6.2167,149.55,82.09,74,99,4.29,PG,1681190728
31,mataura,-46.1927,168.8643,52.48,97,100,3.09,NZ,1681190128
32,tuktoyaktuk,69.4541,-133.0374,12.33,95,100,13.09,CA,1681190140
33,shancheng,34.7953,116.0817,73.29,19,89,14.74,CN,1681190728
34,hermanus,-34.4187,19.2345,52.81,68,64,1.03,ZA,1681190729
35,danilov,58.1908,40.1717,41.88,68,23,1.88,RU,1681190729
36,bathsheba,13.2167,-59.5167,79.41,69,40,18.41,BB,1681190190
37,broken hill,-31.95,141.4333,75.51,29,68,9.24,AU,1681190145
38,nikolskoye,59.7035,30.7861,40.8,82,99,1.01,RU,1681190143
39,iqaluit,63.7506,-68.5145,4.73,85,75,0.0,CA,1681190152
40,bengkulu,-3.8004,102.2655,84.24,67,53,6.64,ID,1681190730
41,puerto ayora,-0.7393,-90.3518,79.56,91,59,1.16,EC,1681190730
42,ancud,-41.8697,-73.8203,56.53,98,100,7.96,CL,1681190203
43,hilo,19.7297,-155.09,72.28,92,75,6.91,US,1681190731
44,kuytun,54.3419,101.5036,37.99,50,80,11.81,RU,1681190731
45,kefamenanu,-9.4467,124.4781,83.16,68,47,9.04,ID,1681190732
46,ilulissat,69.2167,-51.1,41.02,38,13,24.16,GL,1681190066
47,yellowknife,62.456,-114.3525,25.32,80,100,14.97,CA,1681190152
48,cheremukhovo,60.3484,59.9851,30.25,60,100,7.11,RU,1681190732
49,ponta do sol,32.6667,-17.1,65.03,46,7,4.47,PT,1681190732
50,jamestown,42.097,-79.2353,49.59,60,0,4.61,US,1681190733
51,cacapava,-23.1008,-45.7069,61.5,93,77,1.19,BR,1681190733
52,airai,-8.9266,125.4092,69.4,83,55,3.67,TL,1681190162
53,port lincoln,-34.7333,135.8667,64.8,85,100,16.15,AU,1681190164
54,matara,5.9485,80.5353,88.97,53,12,10.2,LK,1681190733
55,kavieng,-2.5744,150.7967,82.08,75,97,8.34,PG,1681190135
56,cidreira,-30.1811,-50.2056,71.91,87,14,10.13,BR,1681190733
57,tevriz,57.509,72.4042,23.43,52,61,11.88,RU,1681190734
58,jinchang,38.4953,102.1739,55.4,20,18,6.64,CN,1681190734
59,hobart,-42.8794,147.3294,63.27,82,75,9.22,AU,1681190037
60,nome,64.5011,-165.4064,-5.73,65,0,0.0,US,1681190203
61,provideniya,64.3833,-173.3,-3.64,59,0,13.42,RU,1681190187
62,port hardy,50.6996,-127.4199,42.8,93,100,5.75,CA,1681190735
63,avarua,-21.2078,-159.775,77.05,69,20,3.44,CK,1681189975
64,leningradskiy,69.3833,178.4167,-3.78,93,34,5.61,RU,1681190177
65,kapaa,22.0752,-159.319,78.78,82,75,19.57,US,1681190735
66,sur,22.5667,59.5289,84.4,51,52,3.98,OM,1681190736
67,saint-joseph,-21.3667,55.6167,81.46,74,100,3.71,RE,1681190736
68,hami,42.8,93.45,63.32,13,67,1.21,CN,1681190171
69,faanui,-16.4833,-151.75,81.91,74,100,10.18,PF,1681190155
70,vallenar,-28.5708,-70.7581,66.92,63,5,0.76,CL,1681190736
71,naron,43.5167,-8.1528,51.04,94,100,3.89,ES,1681190736
72,coatesville,39.9832,-75.8238,49.98,61,0,4.61,US,1681190737
73,hasaki,35.7333,140.8333,75.6,64,0,26.08,JP,1681190737
74,gunjur,13.2019,-16.7339,69.87,88,0,6.91,GM,1681190737
75,mount isa,-20.7333,139.5,92.97,15,25,6.91,AU,1681190737
76,cape town,-33.9258,18.4232,61.38,76,75,3.44,ZA,1681190624
77,tiarei,-17.5333,-149.3333,82.42,78,96,10.71,PF,1681190592
78,tecoanapa,16.5167,-98.75,80.56,79,8,5.53,MX,1681190157
79,san cristobal,7.7669,-72.225,73.58,95,79,3.0,VE,1681190161
80,carnarvon,-24.8667,113.6333,75.25,45,12,19.42,AU,1681190140
81,georgetown,5.4112,100.3354,91.33,66,20,10.36,MY,1681190717
82,birin,26.8865,88.0718,76.15,20,0,7.49,NP,1681190738
83,poindimie,-20.9333,165.3333,82.85,70,15,5.68,NC,1681190738
84,vila franca do campo,37.7167,-25.4333,61.21,93,36,8.39,PT,1681190185
85,khatanga,71.9667,102.5,1.22,78,100,10.87,RU,1681190149
86,kysyl-syr,63.8986,122.7617,16.05,87,100,5.21,RU,1681190739
87,kodiak,57.79,-152.4072,33.31,51,0,6.91,US,1681190739
88,bubaque,11.2833,-15.8333,76.1,70,76,11.68,GW,1681190739
89,guerrero negro,27.9769,-114.0611,58.26,88,0,12.8,MX,1681190739
90,talnakh,69.4865,88.3972,0.07,84,100,6.73,RU,1681190141
91,axim,4.8699,-2.2405,79.39,84,100,4.83,GH,1681190740
92,corowa,-36.0333,146.3833,69.58,51,34,3.69,AU,1681190740
93,upernavik,72.7868,-56.1549,-1.55,97,99,14.03,GL,1681190740
94,lixourion,38.2019,20.4314,52.2,76,22,7.14,GR,1681190740
95,east london,-33.0153,27.9116,58.14,54,0,12.66,ZA,1681190741
96,tiksi,71.6872,128.8694,-1.25,92,38,4.12,RU,1681190172
97,barrow,71.2906,-156.7887,-0.38,71,100,11.5,US,1681190720
98,saint-augustin,51.226,-58.6502,32.92,90,87,14.5,CA,1681190741
99,bilokurakyne,49.5341,38.7307,49.68,57,100,12.35,UA,1681190741
100,cabo san lucas,22.8909,-109.9124,74.52,46,36,11.41,MX,1681190168
101,deori khas,23.4,79.0167,95.74,11,1,1.72,IN,1681190742
102,bluff,-46.6,168.3333,52.81,95,100,16.6,NZ,1681190742
103,placerville,38.7296,-120.7986,61.14,78,40,5.75,US,1681190742
104,simpang,-1.2667,104.0833,88.63,61,93,4.36,ID,1681190742
105,sitka,57.0531,-135.33,39.09,75,100,3.44,US,1681190742
106,micheweni,-4.9667,39.8333,81.28,80,66,2.57,TZ,1681190743
107,klaksvik,62.2266,-6.589,43.72,82,100,8.19,FO,1681190743
108,kieta,-6.2167,155.6333,82.87,81,100,5.73,PG,1681190198
109,ramet,46.3,23.5333,41.13,89,51,1.01,RO,1681190743
110,cayenne,4.9333,-52.3333,75.24,94,75,5.75,GF,1681190185
111,jaru,-10.4389,-62.4664,72.07,98,99,1.1,BR,1681190743
112,bosaso,11.2842,49.1816,84.18,65,0,19.57,SO,1681190744
113,ahipara,-35.1667,173.1667,65.77,89,15,17.85,NZ,1681190166
114,krasnoselkup,65.7,82.4667,-2.31,88,62,15.14,RU,1681190744
115,bredasdorp,-34.5322,20.0403,55.44,77,63,4.56,ZA,1681190145
116,charters towers,-20.1,146.2667,90.75,19,9,6.82,AU,1681190745
117,longyearbyen,78.2186,15.6401,24.64,80,75,16.11,SJ,1681190745
118,pemba,-12.974,40.5178,79.5,94,20,3.44,MZ,1681190745
119,henties bay,-22.116,14.2845,55.83,86,0,4.0,NA,1681190746
120,dingle,10.9995,122.6711,77.88,81,100,3.94,PH,1681190190
121,nuuk,64.1835,-51.7216,32.61,86,7,10.36,GL,1681190746
122,wana,32.2989,69.5725,72.14,31,3,4.18,PK,1681190746
123,araouane,18.9048,-3.5265,77.97,14,99,12.66,ML,1681190471
124,victoria,22.2855,114.1577,83.19,85,98,8.99,HK,1681190703
125,darnah,32.767,22.6367,55.81,72,52,14.03,LY,1681190747
126,aklavik,68.2191,-135.0107,7.95,96,100,5.41,CA,1681190747
127,pacific grove,36.6177,-121.9166,54.39,90,100,3.44,US,1681190747
128,antalaha,-14.9003,50.2788,77.61,82,18,3.74,MG,1681190748
129,marienburg,54.0359,19.0266,49.57,88,87,9.17,PL,1681190748
130,petauke,-14.2426,31.3253,65.84,96,33,2.51,ZM,1681190748
131,simga,21.6333,81.7,98.33,14,2,4.97,IN,1681190748
132,hithadhoo,-0.6,73.0833,82.69,66,4,1.83,MV,1681190748
133,gazli,40.1333,63.45,66.51,35,91,6.55,UZ,1681190749
134,tasiilaq,65.6145,-37.6368,33.96,98,100,6.42,GL,1681190618
135,meulaboh,4.1363,96.1285,85.37,65,96,3.98,ID,1681190199
136,kpandu,6.9954,0.2931,77.61,84,100,7.23,GH,1681190749
137,alta floresta,-9.8756,-56.0861,70.86,97,99,2.95,BR,1681190198
138,manta,-0.95,-80.7333,76.78,88,75,2.3,EC,1681190187
139,mahina,-17.5065,-149.489,82.17,74,75,3.44,PF,1681190749
140,namibe,-15.1961,12.1522,72.45,80,3,3.04,AO,1681190750
141,esil,51.9556,66.4042,40.15,58,36,12.08,KZ,1681190750
142,kirakira,-10.4544,161.9205,81.36,81,84,1.61,SB,1681190204
143,kahului,20.8947,-156.47,74.84,77,40,11.5,US,1681190157
144,chokurdakh,70.6333,147.9167,2.55,83,87,4.76,RU,1681190750
145,ostrovnoy,68.0531,39.5131,34.25,98,100,14.27,RU,1681190750
146,tarauaca,-8.1614,-70.7656,71.31,98,87,0.27,BR,1681190751
147,lata,40.1629,-8.3327,51.08,98,70,2.21,PT,1681190751
148,iztapa,13.9333,-90.7075,80.04,65,68,3.71,GT,1681190751
149,port elizabeth,-33.918,25.5701,60.31,67,0,18.41,ZA,1681190751
150,romny,50.751,33.4747,46.92,60,90,11.05,UA,1681190751
151,saint-philippe,-21.3585,55.7679,78.39,73,100,7.29,RE,1681190752
152,saskylakh,71.9167,114.0833,3.97,85,100,14.56,RU,1681190752
153,calvinia,-31.4707,19.776,46.2,63,8,4.25,ZA,1681190752
154,balaipungut,1.05,101.2833,93.61,49,89,1.1,ID,1681190752
155,tautira,-17.7333,-149.15,80.19,78,99,9.46,PF,1681190752
156,kenora,49.8167,-94.4337,38.37,75,75,9.22,CA,1681190169
157,ganta,7.3022,-8.5308,70.38,98,99,2.33,LR,1681190752
158,sioux lookout,50.1001,-91.917,44.67,57,0,6.91,CA,1681190753
159,helong,42.5397,128.9972,54.7,45,51,16.87,CN,1681190753
160,totness,5.8833,-56.3167,77.02,90,42,8.75,SR,1681190717
161,constitucion,-35.3333,-72.4167,58.53,95,95,5.06,CL,1681190191
162,gambela,8.25,34.5833,81.18,50,78,4.68,ET,1681190753
163,chuy,-33.6971,-53.4616,64.15,88,28,6.46,UY,1681190753
164,flinders,-34.5833,150.8552,72.18,53,13,8.01,AU,1681190192
165,komsomolskiy,40.4272,71.7189,63.32,59,75,2.3,UZ,1681190162
166,ippy,6.2679,21.2247,72.99,90,100,4.41,CF,1681190754
167,shache,38.4167,77.2406,68.63,17,26,4.25,CN,1681190754
168,vila velha,-20.3297,-40.2925,71.55,96,100,6.91,BR,1681189977
169,santa luzia,-19.7697,-43.8514,67.1,77,0,0.0,BR,1681190754
170,cap malheureux,-19.9842,57.6142,80.47,78,100,1.01,MU,1681190754
171,lompoc,34.6391,-120.4579,55.02,95,100,5.75,US,1681190197
172,shitanjing,39.2342,106.3439,52.18,9,2,0.56,CN,1681190755
173,mount gambier,-37.8333,140.7667,67.28,43,100,7.2,AU,1681190189
174,kaitangata,-46.2817,169.8464,56.44,90,62,5.77,NZ,1681190755
175,westport,41.1415,-73.3579,49.93,71,0,0.0,US,1681190755
176,mahebourg,-20.4081,57.7,80.26,89,75,5.75,MU,1681190756
177,lincoln,40.8,-96.667,60.13,81,0,3.44,US,1681190625
178,paamiut,61.994,-49.6678,32.31,77,97,6.71,GL,1681190162
179,marawi,7.9986,124.2928,79.68,65,97,5.79,PH,1681190756
180,labuhan,-6.8844,112.2051,85.57,68,68,9.33,ID,1681190164
181,northam,51.0333,-4.2167,47.25,90,90,13.44,GB,1681190757
182,ust-kuyga,70.0167,135.6,10.44,57,0,1.59,RU,1681190201
183,noumea,-22.2763,166.4572,82.38,77,76,3.96,NC,1681190657
184,pinawa,50.1489,-95.8811,38.39,99,100,5.41,CA,1681190757
185,tura,25.5198,90.2201,92.32,16,1,5.39,IN,1681190757
186,anadyr,64.75,177.4833,1.9,66,40,11.18,RU,1681190758
187,biltine,14.5333,20.9167,81.91,15,37,8.57,TD,1681190758
188,takoradi,4.8845,-1.7554,79.61,85,100,5.91,GH,1681190758
189,sakakah,29.9697,40.2064,71.17,61,42,9.64,SA,1681190758
190,shubarshi,48.5872,57.1869,53.78,58,4,9.15,KZ,1681190759
191,brae,60.3964,-1.353,44.17,87,100,11.36,GB,1681190759
192,bambous virieux,-20.3428,57.7575,80.22,89,75,5.75,MU,1681190759
193,beringovskiy,63.05,179.3167,7.38,86,100,23.0,RU,1681190759
194,torbay,47.6666,-52.7314,35.28,76,0,20.71,CA,1681190760
195,saint simons,31.1352,-81.3901,66.24,65,100,14.97,US,1681190760
196,lahaina,20.8783,-156.6825,74.8,85,83,13.8,US,1681190760
197,udachnyy,66.4167,112.4,10.45,39,86,13.11,RU,1681190173
198,sisimiut,66.9395,-53.6735,23.77,75,14,8.48,GL,1681190761
199,riohacha,11.5444,-72.9072,77.77,88,42,4.23,CO,1681190761
200,nanortalik,60.1432,-45.2371,32.88,93,99,7.11,GL,1681190761
201,calderitas,18.55,-88.25,75.99,78,18,5.95,MX,1681190761
202,mahon,39.8885,4.2658,50.56,100,100,4.61,ES,1681190761
203,makakilo city,21.3469,-158.0858,75.52,75,0,13.8,US,1681190762
204,vao,-22.6667,167.4833,78.75,76,86,5.66,NC,1681190762
205,dunedin,-45.8742,170.5036,57.79,95,97,8.1,NZ,1681190762
206,campo verde,-20.4167,-54.0667,70.88,85,88,5.5,BR,1681190763
207,harwich,51.9419,1.2844,44.22,79,1,8.01,GB,1681190763
208,comodoro rivadavia,-45.8667,-67.5,46.26,76,0,4.61,AR,1681190089
209,kedrovyy,56.1667,91.8167,46.87,63,100,16.46,RU,1681190764
210,jieshi,22.8134,115.8257,74.95,77,52,5.86,CN,1681190764
211,plettenberg bay,-34.0527,23.3716,56.23,83,99,11.23,ZA,1681190764
212,pevek,69.7008,170.3133,-8.66,93,61,1.39,RU,1681190764
213,kudahuvadhoo,2.6708,72.8944,83.44,70,7,6.53,MV,1681190765
214,aswan,24.0934,32.907,74.34,41,65,20.18,EG,1681190765
215,komsomolets,53.7453,62.0708,40.15,56,53,6.82,KZ,1681190765
216,qunduz,36.729,68.857,74.19,31,6,2.55,AF,1681190766
217,shuangcheng,45.35,126.2833,47.88,26,87,22.91,CN,1681190766
218,sepuka,-4.75,34.5333,63.82,87,100,6.31,TZ,1681190766
219,saint anthony,45.0205,-93.218,56.82,55,0,3.44,US,1681190767
220,verkhnyaya toyma,62.2349,44.9985,34.09,89,74,5.17,RU,1681190767
221,poso,-1.3959,120.7524,87.53,63,34,5.91,ID,1681190767
222,grindavik,63.8424,-22.4338,39.67,93,75,9.22,IS,1681190767
223,harpalpur,25.2884,79.3347,95.25,8,7,4.88,IN,1681190768
224,lewisporte,49.2499,-55.0482,35.31,87,14,9.64,CA,1681190768
225,quelimane,-17.8786,36.8883,75.16,94,15,3.6,MZ,1681190594
226,hamilton,39.1834,-84.5333,54.84,54,20,0.0,US,1681189984
227,moura,38.1401,-7.4486,50.11,96,6,4.03,PT,1681190769
228,sibolga,1.7427,98.7792,86.45,65,87,5.66,ID,1681190769
229,cherskiy,68.75,161.3,8.17,83,8,6.64,RU,1681190769
230,binzhou,37.3667,118.0167,63.54,12,99,8.48,CN,1681190770
231,ribeira grande,38.5167,-28.7,61.77,94,100,13.0,PT,1681190770
232,abha,18.2164,42.5053,66.02,39,20,12.66,SA,1681190770
233,beroroha,-21.6667,45.1667,76.86,69,0,2.44,MG,1681190770
234,ixtapa,20.7,-105.2,74.23,78,0,4.61,MX,1681190187
235,paramonga,-10.6667,-77.8333,75.52,82,82,7.14,PE,1681190771
236,bela,25.9333,81.9833,97.5,8,1,10.67,IN,1681190771
237,nouakchott,18.0858,-15.9785,64.33,92,58,11.3,MR,1681190771
238,lavrentiya,65.5833,-171.0,-10.03,91,5,3.18,RU,1681190196
239,bonavista,48.6499,-53.1147,30.92,87,15,12.46,CA,1681190772
240,geraldton,-28.7667,114.6,75.61,46,40,11.5,AU,1681190772
241,yulara,-25.2406,130.9889,95.11,16,100,17.58,AU,1681190773
242,shenzhen,22.5455,114.0683,83.08,82,96,7.81,CN,1681190773
243,cuamba,-14.8031,36.5372,69.8,89,62,3.04,MZ,1681190773
244,port blair,11.6667,92.75,89.64,70,20,8.05,IN,1681190774
245,tirschenreuth,49.8825,12.3331,43.65,93,100,1.99,DE,1681190774
246,korla,41.7597,86.1469,65.08,18,75,7.38,CN,1681190197
247,san quintin,30.4833,-115.95,57.97,86,2,8.21,MX,1681190774
248,morondava,-20.2833,44.2833,77.99,80,1,4.72,MG,1681190775
249,tumut,-35.3,148.2167,64.67,48,26,3.22,AU,1681190775
250,zutphen,52.1383,6.2014,48.11,84,43,17.09,NL,1681190775
251,kenai,60.5544,-151.2583,27.09,76,100,0.0,US,1681190775
252,porto belo,-27.1578,-48.5531,73.17,79,63,8.68,BR,1681190775
253,assomada,15.1,-23.6833,63.95,66,90,9.4,CV,1681190776
254,valley,45.1277,-116.1262,41.61,78,65,10.22,US,1681190776
255,san jeronimo,-11.9472,-75.2829,47.8,86,75,3.58,PE,1681190777
256,bethel,41.3712,-73.414,47.66,67,0,0.0,US,1681190777
257,farafangana,-22.8167,47.8333,74.93,84,7,4.23,MG,1681190777
258,petropavlovsk-kamchatskiy,53.0452,158.6483,37.99,45,75,13.42,RU,1681190085
259,samarai,-10.6167,150.6667,78.85,83,100,6.49,PG,1681190778
260,nantucket,41.2835,-70.0995,46.45,83,0,16.11,US,1681190778
261,coquimbo,-29.9533,-71.3436,58.73,100,100,6.91,CL,1681189997
262,great falls,47.5002,-111.3008,63.79,36,0,19.57,US,1681190778
263,jishou,28.3167,109.7167,81.28,58,33,4.21,CN,1681190778
264,arraial do cabo,-22.9661,-42.0278,72.12,75,63,6.06,BR,1681190189
265,trincomalee,8.5711,81.2335,85.48,63,69,10.27,LK,1681190779
